Word,Form,TimePeriod,SentenceLength
Lehrerinnen,long,2010s,20
Lehrerinnen,long,2010s,29
Lehrerinnen,long,2010s,21
Lehrerinnen,long,2010s,36
Lehrerinnen,long,2010s,27
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,11
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,10
Lehrerinnen,long,2010s,12
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,20
Lehrerinnen,long,2010s,48
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,11
Lehrerinnen,long,2010s,11
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,21
Lehrerinnen,long,2010s,27
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,29
Lehrerinnen,long,2010s,25
Lehrerinnen,long,2010s,40
Lehrerinnen,long,2010s,38
Lehrerinnen,long,2010s,35
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,28
Lehrerinnen,long,2010s,23
Lehrerinnen,long,2010s,31
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,22
Lehrerinnen,long,2010s,8
Lehrerinnen,long,2010s,25
Lehrerinnen,long,2010s,21
Lehrerinnen,long,2010s,23
Lehrerinnen,long,2010s,19
Lehrerinnen,long,2010s,30
Lehrerinnen,long,2010s,24
Lehrerinnen,long,2010s,11
Lehrerinnen,long,2010s,25
Lehrerinnen,long,2010s,20
Lehrerinnen,long,2010s,29
Lehrerinnen,long,2010s,8
Lehrerinnen,long,2010s,12
Lehrerinnen,long,2010s,21
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,31
Lehrerinnen,long,2010s,7
Lehrerinnen,long,2010s,14
Lehrerinnen,long,2010s,13
Lehrerinnen,long,2010s,19
Lehrerinnen,long,2010s,23
Lehrerinnen,long,2010s,44
Lehrerinnen,long,2010s,25
Lehrerinnen,long,2010s,49
Lehrerinnen,long,2010s,184
Lehrerinnen,long,2010s,13
Lehrerinnen,long,2010s,23
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,20
Lehrerinnen,long,2010s,22
Lehrerinnen,long,2010s,37
Lehrerinnen,long,2010s,7
Lehrerinnen,long,2010s,66
Lehrerinnen,long,2010s,23
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,19
Lehrerinnen,long,2010s,58
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,23
Lehrerinnen,long,2010s,22
Lehrerinnen,long,2010s,34
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,25
Lehrerinnen,long,2010s,28
Lehrerinnen,long,2010s,38
Lehrerinnen,long,2010s,24
Lehrerinnen,long,2010s,25
Lehrerinnen,long,2010s,41
Lehrerinnen,long,2010s,44
Lehrerinnen,long,2010s,8
Lehrerinnen,long,2010s,7
Lehrerinnen,long,2010s,29
Lehrerinnen,long,2010s,12
Lehrerinnen,long,2010s,21
Lehrerinnen,long,2010s,27
Lehrerinnen,long,2010s,24
Lehrerinnen,long,2010s,6
Lehrerinnen,long,2010s,40
Lehrerinnen,long,2010s,34
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,11
Lehrerinnen,long,2010s,13
Lehrerinnen,long,2010s,36
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,22
Lehrerinnen,long,2010s,19
Lehrerinnen,long,2010s,34
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,23
Lehrerinnen,long,2010s,14
Lehrerinnen,long,2010s,9
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,45
Lehrerinnen,long,2010s,25
Lehrerinnen,long,2010s,10
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,23
Lehrerinnen,long,2010s,31
Lehrerinnen,long,2010s,4
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,59
Lehrerinnen,long,2010s,19
Lehrerinnen,long,2010s,33
Lehrerinnen,long,2010s,21
Lehrerinnen,long,2010s,14
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,29
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,2
Lehrerinnen,long,2010s,13
Lehrerinnen,long,2010s,14
Lehrerinnen,long,2010s,29
Lehrerinnen,long,2010s,20
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,28
Lehrerinnen,long,2010s,23
Lehrerinnen,long,2010s,42
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,19
Lehrerinnen,long,2010s,29
Lehrerinnen,long,2010s,55
Lehrerinnen,long,2010s,23
Lehrerinnen,long,2010s,27
Lehrerinnen,long,2010s,35
Lehrerinnen,long,2010s,7
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,20
Lehrerinnen,long,2010s,13
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,22
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,24
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,38
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,27
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,13
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,34
Lehrerinnen,long,2010s,22
Lehrerinnen,long,2010s,40
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,12
Lehrerinnen,long,2010s,9
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,30
Lehrerinnen,long,2010s,51
Lehrerinnen,long,2010s,19
Lehrerinnen,long,2010s,39
Lehrerinnen,long,2010s,37
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,10
Lehrerinnen,long,2010s,14
Lehrerinnen,long,2010s,30
Lehrerinnen,long,2010s,9
Lehrerinnen,long,2010s,22
Lehrerinnen,long,2010s,38
Lehrerinnen,long,2010s,8
Lehrerinnen,long,2010s,24
Lehrerinnen,long,2010s,48
Lehrerinnen,long,2010s,50
Lehrerinnen,long,2010s,29
Lehrerinnen,long,2010s,76
Lehrerinnen,long,2010s,31
Lehrerinnen,long,2010s,27
Lehrerinnen,long,2010s,30
Lehrerinnen,long,2010s,13
Lehrerinnen,long,2010s,12
Lehrerinnen,long,2010s,19
Lehrerinnen,long,2010s,24
Lehrerinnen,long,2010s,11
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,19
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,11
Lehrerinnen,long,2010s,27
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,5
Lehrerinnen,long,2010s,19
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,12
Lehrerinnen,long,2010s,9
Lehrerinnen,long,2010s,34
Lehrerinnen,long,2010s,28
Lehrerinnen,long,2010s,11
Lehrerinnen,long,2010s,4
Lehrerinnen,long,2010s,8
Lehrerinnen,long,2010s,21
Lehrerinnen,long,2010s,47
Lehrerinnen,long,2010s,29
Lehrerinnen,long,2010s,28
Lehrerinnen,long,2010s,36
Lehrerinnen,long,2010s,8
Lehrerinnen,long,2010s,33
Lehrerinnen,long,2010s,30
Lehrerinnen,long,2010s,31
