,Word,Form,TimePeriod,SentenceLength
175,Lehrerinnen,long,2010s,61
176,Lehrerinnen,long,2010s,34
177,Lehrerinnen,long,2010s,3
178,Lehrerinnen,long,2010s,12
179,Lehrerinnen,long,2010s,14
180,Lehrerinnen,long,2010s,17
181,Lehrerinnen,long,2000s,38
182,Lehrerinnen,long,2000s,7
183,Lehrerinnen,long,2000s,35
184,Lehrerinnen,long,2000s,21
185,Lehrerinnen,long,2000s,6
186,Lehrerinnen,long,2000s,6
187,Lehrerinnen,long,2000s,32
188,Lehrerinnen,long,2000s,23
189,Lehrerinnen,long,2010s,20
190,Lehrerinnen,long,2010s,28
191,Lehrerinnen,long,2010s,26
192,Lehrerinnen,long,2010s,12
193,Lehrerinnen,long,2010s,21
194,Lehrerinnen,long,2010s,33
195,Lehrerinnen,long,2010s,34
196,Lehrerinnen,long,2010s,18
197,Lehrerinnen,long,2010s,27
198,Lehrerinnen,long,2010s,19
199,Lehrerinnen,long,2010s,34
200,Lehrerinnen,long,2010s,25
201,Lehrerinnen,long,2010s,13
202,Lehrerinnen,long,2010s,9
203,Lehrerinnen,long,2010s,30
204,Lehrerinnen,long,2010s,24
205,Lehrerinnen,long,2010s,30
206,Lehrerinnen,long,2010s,8
207,Lehrerinnen,long,2010s,10
208,Lehrerinnen,long,2010s,16
209,Lehrerinnen,long,2010s,18
210,Lehrerinnen,long,2010s,46
211,Lehrerinnen,long,2010s,30
212,Lehrerinnen,long,2010s,9
213,Lehrerinnen,long,2010s,9
214,Lehrerinnen,long,2010s,15
215,Lehrerinnen,long,2010s,15
216,Lehrerinnen,long,2010s,30
217,Lehrerinnen,long,2010s,19
218,Lehrerinnen,long,2010s,25
219,Lehrerinnen,long,2010s,24
220,Lehrerinnen,long,2010s,27
221,Lehrerinnen,long,2010s,23
222,Lehrerinnen,long,2010s,38
223,Lehrerinnen,long,2010s,36
224,Lehrerinnen,long,2010s,33
225,Lehrerinnen,long,2010s,24
226,Lehrerinnen,long,2010s,16
227,Lehrerinnen,long,2010s,30
228,Lehrerinnen,long,2010s,26
