Word,Form,TimePeriod,SentenceLength
Autorinnen,long,2010s,7
Autorinnen,long,2010s,66
Autorinnen,long,2010s,22
Autorinnen,long,2010s,37
Autorinnen,long,2010s,10
Autorinnen,long,2010s,33
Autorinnen,long,2010s,70
Autorinnen,long,2010s,28
Autorinnen,long,2010s,19
Autorinnen,long,2010s,18
Autorinnen,long,2000s,29
Autorinnen,long,2000s,53
Autorinnen,long,2000s,12
Autorinnen,long,2000s,76
Autorinnen,long,2000s,37
Autorinnen,long,2000s,19
Autorinnen,long,2000s,19
Autorinnen,long,2000s,50
Autorinnen,long,2000s,58
Autorinnen,long,2000s,8
Autorinnen,long,2000s,56
Autorinnen,long,2000s,12
Autorinnen,long,2000s,13
Autorinnen,long,2000s,36
Autorinnen,long,2000s,9
Autorinnen,long,2000s,48
Autorinnen,long,2000s,10
Autorinnen,long,2000s,16
Autorinnen,long,2000s,39
Autorinnen,long,2000s,18
Autorinnen,long,2000s,35
Autorinnen,long,2000s,46
Autorinnen,long,2000s,33
Autorinnen,long,2000s,21
Autorinnen,long,2000s,16
Autorinnen,long,2000s,24
Autorinnen,long,2000s,122
Autorinnen,long,2000s,21
Autorinnen,long,2000s,32
Autorinnen,long,2000s,16
Autorinnen,long,2000s,21
Autorinnen,long,2000s,20
Autorinnen,long,2000s,54
Autorinnen,long,2000s,62
Autorinnen,long,2000s,49
Autorinnen,long,2000s,59
Autorinnen,long,2000s,28
Autorinnen,long,2000s,23
Autorinnen,long,2000s,21
Autorinnen,long,2000s,44
Autorinnen,long,2000s,24
Autorinnen,long,2000s,29
Autorinnen,long,2000s,24
Autorinnen,long,2000s,31
Autorinnen,long,2000s,15
Autorinnen,long,2000s,12
Autorinnen,long,2000s,25
Autorinnen,long,2000s,22
Autorinnen,long,2000s,15
Autorinnen,long,2000s,13
Autorinnen,long,2000s,28
Autorinnen,long,2000s,34
Autorinnen,long,2000s,22
Autorinnen,long,2000s,33
Autorinnen,long,2000s,3
Autorinnen,long,2000s,36
Autorinnen,long,2000s,19
Autorinnen,long,2000s,13
Autorinnen,long,2000s,19
Autorinnen,long,2000s,24
Autorinnen,long,2000s,7
Autorinnen,long,2000s,25
Autorinnen,long,2000s,22
Autorinnen,long,2000s,38
